epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,7152.19,1.05572,1.30211,0.61633,0.87173,0.81619,0.67615,0.75393,0.4435,0.81137,0.66952,0.7461,0.39666,1.4495,2.02466,0.87236,0.98943,0.000662188,0.000662188,0.000662188
97,7228.42,1.05178,1.29395,0.61517,0.86787,0.81787,0.67197,0.75861,0.44249,0.83166,0.64423,0.74516,0.39287,1.46924,2.10757,0.86733,0.99385,0.000656,0.000656,0.000656
98,7304.99,1.05912,1.30235,0.61154,0.86469,0.82978,0.6614,0.7532,0.44018,0.82506,0.64668,0.74377,0.39533,1.46601,2.10782,0.87798,0.99266,0.000649813,0.000649813,0.000649813
99,7380.27,1.05679,1.29905,0.61322,0.87169,0.83286,0.65477,0.74335,0.44052,0.83103,0.65169,0.74534,0.39959,1.45038,2.04803,0.89934,0.98906,0.000643625,0.000643625,0.000643625
100,7455.48,1.08255,1.32322,0.62489,0.86885,0.83286,0.65477,0.74335,0.44052,0.83103,0.65169,0.74534,0.39959,1.45038,2.04803,0.89934,0.98906,0.000637437,0.000637437,0.000637437
101,7527.12,1.06742,1.34027,0.62643,0.88118,0.81851,0.67414,0.743,0.44004,0.81902,0.67365,0.74668,0.39902,1.45158,2.02731,0.90648,0.98709,0.00063125,0.00063125,0.00063125
102,7597.11,1.06398,1.31913,0.6166,0.8865,0.82708,0.66384,0.73752,0.43245,0.82151,0.64688,0.73403,0.38438,1.47683,2.06454,0.90561,0.99138,0.000625062,0.000625062,0.000625062
103,7673.87,1.06426,1.32588,0.62087,0.86936,0.825,0.66407,0.73974,0.43578,0.84362,0.64058,0.73195,0.38682,1.47155,2.06059,0.90542,0.98983,0.000618875,0.000618875,0.000618875
104,7747.06,1.07894,1.3278,0.62657,0.87789,0.76875,0.68057,0.73767,0.43762,0.76214,0.67156,0.73491,0.39326,1.4476,2.04464,0.91814,0.98643,0.000612687,0.000612687,0.000612687
105,7819.38,1.04305,1.28241,0.60624,0.87073,0.76875,0.68057,0.73767,0.43762,0.76214,0.67156,0.73491,0.39326,1.4476,2.04464,0.91814,0.98643,0.0006065,0.0006065,0.0006065
106,7892.27,1.04493,1.27181,0.59764,0.87586,0.72757,0.68005,0.71962,0.42428,0.71498,0.67903,0.72307,0.38594,1.45979,2.11045,0.93436,0.99118,0.000600313,0.000600313,0.000600313
107,7963.14,1.04821,1.29152,0.61098,0.88251,0.73392,0.68508,0.7344,0.42856,0.72703,0.67493,0.72868,0.38804,1.47521,2.12361,0.92415,0.9949,0.000594125,0.000594125,0.000594125
108,8034.53,1.04171,1.28116,0.6068,0.87488,0.78941,0.68023,0.74196,0.43319,0.77738,0.66574,0.73121,0.39244,1.4774,2.06944,0.91884,0.99413,0.000587938,0.000587938,0.000587938
109,8107.15,1.05936,1.30987,0.60844,0.87905,0.82032,0.65844,0.74522,0.4379,0.82168,0.64825,0.73908,0.39589,1.4617,2.02556,0.91888,0.99118,0.00058175,0.00058175,0.00058175
110,8178.2,1.0265,1.27269,0.60223,0.88283,0.77102,0.67827,0.73924,0.43388,0.7603,0.67386,0.73419,0.38984,1.46943,2.07163,0.91912,0.99717,0.000575563,0.000575563,0.000575563
111,8250.06,1.07787,1.31576,0.62194,0.88278,0.77102,0.67827,0.73924,0.43388,0.7603,0.67386,0.73419,0.38984,1.46943,2.07163,0.91912,0.99717,0.000569375,0.000569375,0.000569375
112,8325.45,1.06348,1.30511,0.61661,0.87395,0.75268,0.69801,0.73575,0.42984,0.74586,0.68952,0.72796,0.37856,1.48179,2.10296,0.91512,1.00131,0.000563187,0.000563187,0.000563187
113,8396.93,1.02321,1.27715,0.59498,0.87598,0.80856,0.68114,0.73585,0.43105,0.80222,0.67181,0.73121,0.38096,1.4787,2.03721,0.89808,0.99939,0.000557,0.000557,0.000557
114,8469.56,1.05104,1.2669,0.60534,0.8768,0.79846,0.68597,0.73626,0.43179,0.79379,0.68056,0.73313,0.39008,1.45754,2.02047,0.88463,0.99623,0.000550813,0.000550813,0.000550813
115,8540.34,1.03179,1.28334,0.60654,0.8846,0.7717,0.68352,0.73086,0.42712,0.8234,0.63838,0.73388,0.39674,1.44314,2.03349,0.88168,0.99278,0.000544625,0.000544625,0.000544625
116,8614.36,1.06777,1.31669,0.61837,0.87141,0.7717,0.68352,0.73086,0.42712,0.8234,0.63838,0.73388,0.39674,1.44314,2.03349,0.88168,0.99278,0.000538438,0.000538438,0.000538438
